ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort,,,,,,,,,,,,,,,,
62471,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Schwartz, Paul A",1966,7,6,1200,Venezuela,,,Rio Grande, km 10, El Palmar,7.9666667,-61.8833333,,,song,Human, Playback Self,Not Provided,Sight and Sound,,,3,0,163,NAGRA III,Electro-Voice 650,Parabola 91.4cm (36in),Mono,,,,,,," NOTES: Neotropical Institute Cut # 23 Bulk reel: 143. This bird was ""whistled in."" I believe it to be a different one from that of Cuts 1) and 2) as it is ~ 500 m. distant and across the road. Quality: 1. Level: +5. A still different bird in background. Then bird closer after playback of first part. Rain at end. Quality: 1. Level: +5.", Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,
31726,Audio,Hylopezus fulviventris,White-lored Antpitta,Psarocolius angustifrons -- Russet-backed Oropendola,,"Parker, III, Theodore A",1983,6,23,1620,Peru,Loreto,,N bank Río Napo, Sucusari Camp,-3.25,-72.92,,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Certain,Sight,,,3,0,553,NAGRA IV-B,Electro-Voice DL42,,Mono,,,,Riparian,,, NOTES: (Breeding Status: Territorial. Gen. Climate: Humid. Gen. Habitat: Heliconia thicket under Cecropia trees. Cover Density: Thick.), Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,
112792,Audio,Hylopezus macularius dilutus,Spotted Antpitta (Zimmer's),Cacicus cela -- Yellow-rumped Cacique, Hypocnemis sp. (warbling-antbird sp.) -- warbling-antbird sp., Leptodon cayanensis -- Gray-headed Kite, Lipaugus vociferans -- Screaming Piha,,"Marantz, Curtis A",1998,8,3,819,Brazil,Amazonas,,"Fazenda Sao Francisco, Terra Verde Lodge",-3.1361111,-60.4680556,,,advertise, song,Natural,Uncertain,Sound,,,1,0,127,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Roche Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,Edge," NOTES: Apparently Hylopezus macularius but possibly a Trogon??; the object of this recording is the distant, tooting bird in the background; the bird was unseen, but at least 75 meters away in forest that appeared a bit scrubby in places with a broken canopy; some clouds, but conditions otherwise similar to previous cuts; intermittent breeze of about five knots.",,,Aves,Passeriformes,Grallariidae,67570,,,,,,,,,,,
112718,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,Cissopis leverianus -- Magpie Tanager,,"Marantz, Curtis A",1998,7,19,1022,Brazil,Rio de Janeiro,,"Parque Nacional Itatiaia; Trilha de Tres Picos, above Hotel Simon",,,,Unknown Age Unknown Sex (1),song,Natural,Certain,Sound,,,2,0,146,HHB PORTADAT PDR 1000,Sennheiser ME 64,Parabola 61cm (24in),Mono,,,,Forest, Cloudforest, Evergreen Forest,,," NOTES: Unseen, but identified in the field by J. Fernando Pacheco; 20-25 meters away in very dense undergrowth on slope below trail ",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,
90671,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Kerr, Donald J",1994,12,8,557,Guyana,Upper Takutu-Upper Essequibo,,10.0 km S of Kanuku Mtns., Nappi Village,3.3,-59.5,400,Adult Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,2,0,77,MARANTZ PMD 222,Telinga Pro II,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Rainforest, Evergreen Forest, Deciduous Forest,,Thicket/Brush,"NOTES: (Species Sound:  Frequent. Breeding Status:  Territorial. General Climate: Wet, humid. Cover Density:Thick. Weather: 50% clouds.) Tape counter 266-280.",,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,
88478,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,Amazona sp. -- Amazona sp., Cercomacra cinerascens -- Gray Antbird, Geotrygon montana -- Ruddy Quail-Dove, Momotus momota -- Amazonian Motmot, Monasa sp. -- Monasa sp., Saltator grossus -- Slate-colored Grosbeak,,"Marantz, Curtis A",1997,10,15,618,Brazil,Mato Grosso,,"W of Rio Cristalino, Reserva Ecologica Cristalino",,,,Adult Unknown Sex (1),advertise, dawn song, song,Natural,Certain,Sight and Sound,,,2,0,179,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: (Humid climate) (Dry season) (isolated) (thick undergrowth) (ca. 200 m out on Trilha Jozias) (HHb filters in cut position)</p>  <p>ML: HPF@200hz when digitized from field DAT.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,
78519,Audio,Hylopezus fulviventris,White-lored Antpitta,Crypturellus undulatus -- Undulated Tinamou, Momotidae sp. -- motmot sp., Xiphorhynchus guttatus -- Buff-throated Woodcreeper,,"Robbins, Mark B",1991,11,11,530,Ecuador,Napo,,20.0 km W of Coca, south bank Rio Payamino,-0.45,-77.13,300,Adult Male (1),song,Natural,Certain,Sound,,,2,0,84,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Forest,,Second-growth, NOTES: (Species Sound: frequent, Breeding Status: territorial, General Climate: humid, General Habitat: secondary forest, Cover Density: thick),,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,
75729,Audio,Hylopezus berlepschi,Amazonian Antpitta,Alouatta seniculus -- red howler monkey, Amazona farinosa -- Mealy Parrot, Ara sp. -- large macaw sp., Patagioenas plumbea -- Plumbeous Pigeon, Hypocnemis cantator -- Guianan Warbling-Antbird, Sciaphylax hemimelaena -- Chestnut-tailed Antbird, Pheugopedius genibarbis -- Moustached Wren, Trogon collaris -- Collared Trogon, Trogon sp. -- new world trogon sp.,,"Marantz, Curtis A",1994,7,27,658,Peru,Madre de Dios,,"Collpa de Guacamayos, Rio Tambopata",-13.13,-69.58,,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Certain,Sound,,,2,0,180,NAGRA IV-D,Sennheiser MKH 815,,Mono,,,,Rainforest, Evergreen Forest, Creek,,," NOTES: (Bkground sounds: Trogon curucui? Sound or Soc. Contact: Isolated. Breed. Status: Territorial.  Climate: Humid; Cyclic Wet-Dry. Cov. Density: Thick. Strata: Surface? Temp: 21-22¡C. Edited by RF, CAM.) Ca 150 m. east of Trail C opposite 650 m. marker. Calling from a dense, swampy area with a dry stream bed in the middle. Cut contains two songs after announcement that were recorded in response to playback. Those were recorded at 7:14 a.m. with the bird 5-8 m. from me (see data for cut 94-63-01). The bird was probably much closer to me than I believed at the time.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67630,,,,
70096,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Ramphastos tucanus -- White-throated Toucan,,"Parker, III, Theodore A",1993,2,13,0,Guyana,Upper Takutu-Upper Essequibo,,20.0 km E of Nappi Village (Maipaima Creek),3.4166667,-59.5666667,,,song,Playback Self,Not Provided,,,,2,0,739,NAGRA UNSPECIFIED MODEL,Electro-Voice DL42,,Mono,,,,,,,,,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,,,
63417,Audio,Hylopezus perspicillatus,Streak-chested Antpitta,,,"Robbins, Mark B",1990,7,24,650,Ecuador,Esmeraldas,,20.0 km NW of Alto Tambo,0.95,-78.55,325,Unknown Age Unknown Sex (1),song,Natural, Playback Self,Certain,Sight and Sound,,,2,0,171,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest, Evergreen Forest,,Second-growth,"NOTES: (Locality: 20km NNW of Alto Tambo; Species Sound: frequent; Breeding Status: territorial; Sound Delivery Rate: normal, high; General Climate: wet; Cover Denstiy: thick)",Same subject(s) as LNS 73702. ,,Aves,Passeriformes,Grallariidae,67510,,,,,,,,,,,,,,
