ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort,,,,,,,,,,,,,,,,
84463,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Rowlett, Rose Ann ",1984,6,27,0,Ecuador,Napo,,Rio Napo At La Horesta,-1.0,-77.0,,Adult Male (1),call, scold, song,Natural, Playback Self,Certain,Sight,,,0,0,70,,,,Mono,,,,,,,"LNS:  Subject changed from Hylopezus berlepschi to H. fulviventris based on range and vocalizations.  Identification of H. fulviventris subsequently confirmed by the recordist. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,
78536,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Robbins, Mark B",1991,11,12,840,Ecuador,Napo,,20.0 km W of Coca, south bank Rio Payamino,-0.45,-77.13,300,Unknown Age Male (1),song,Playback Self,Certain,Sight and Sound,,,0,0,245,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Forest,,Second-growth, NOTES: (Species Sound: frequent, Breeding Status: territorial, Sound Delivery Rate: high, General Climate: humid, General Habitat: secondary forest, Cover Density: thick),,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,
75594,Audio,Hylopezus berlepschi,Amazonian Antpitta,Ara macao -- Scarlet Macaw,,"Marantz, Curtis A",1994,7,27,700,Peru,Madre de Dios,,"Collpa de Guacamayos, Rio Tambopata",-13.13,-69.58,,Adult Unknown Sex (1),advertise, song,Playback Self,Certain,Sound,,,2,0,72,NAGRA IV-D,Sennheiser MKH 815,,Mono,,,,,,, NOTES: (Sound or Soc. Contact: Isolated. Breed. Status: Territorial. Climate: Humid, Cyclic Wet-Dry. Cov. Density:  Med, High. Strata: Med, Thick. Temp:  21-22¡C.) See notes for 94-62-06 on habitat and other factors. Ca 50 m. from trial oppposite 650 m. marker of Trail C., Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,
75070,Audio,Hylopezus berlepschi,Amazonian Antpitta,Amazona farinosa -- Mealy Parrot, Eupsittula/Aratinga/Thectocercus/Psittacara sp. -- large parakeet sp. (former Aratinga sp.), Campylorhynchus turdinus -- Thrush-like Wren, Formicarius analis -- Black-faced Antthrush, Galbula cyanescens -- Bluish-fronted Jacamar, Glaucidium hardyi -- Amazonian Pygmy-Owl, Myrmoborus myotherinus -- Black-faced Antbird, Percnostola lophotes -- White-lined Antbird, Xiphorhynchus guttatus -- Buff-throated Woodcreeper,,"Marantz, Curtis A",1994,7,31,813,Peru,Madre de Dios,,"Collpa de Guacamayos, Rio Tambopata",-13.13,-69.58,,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Certain,Sound,,,2,0,359,NAGRA IV-D,Sennheiser MKH 815,,Mono,,,,Rainforest, Evergreen Forest,,," NOTES: (Time: 08:13-08:20 Sound or Soc. Contact: Isolated. Breed. Status: Territorial. Del. Rate: Low. Climate: Humid; Cyclic Wet-Dry. Strata: Surface? Weather: Overcast?) Contains several cuts. 8:13 - natural; 8:18, 8:20 - after playback. Recorded from wet area off of Trail C, ca 650 m.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67630,,,,,
74427,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Stouffer, Philip C",1993,9,20,900,Brazil,Amazonas,,80.0 km N of Manaus,-2.5,-60.0,,Unknown Age Unknown Sex (1),advertise, song,Playback Self,Certain,Sight,,,0,0,237,SONY TC-D5 PRO II,Sennheiser MKH 70,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: HP 100 H2 filter used on copy. Slight print of tape before and fater most songs: no countersong., Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,
70064,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Parker, III, Theodore A",1993,2,12,0,Guyana,Upper Takutu-Upper Essequibo,,20.0 km E of Nappi Village (Maipaima Creek),3.4166667,-59.5666667,,,song,Natural,Not Provided,,,,2,0,56,NAGRA UNSPECIFIED MODEL,Electro-Voice DL42,,Mono,,,,,,,,,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,,,
63817,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Finch, Davis W",1991,7,21,1650,Brazil,Rio Grande do Sul,,Sao Francisco de Paula, Loteamento Alpes,,,835,Adult Unknown Sex (1),call, song,Natural,Certain,Sight and Sound,,,0,0,314,SONY TCM-5000,Sennheiser ME 88,,Mono,,,,Forest,,,"NOTES: (Bkground Sounds: Conopophaga lineata (""chif""), Thamnophilus caerulescens (""caw""). Species Sound: Frequent. Breeding Status:  Territorial.) Call (cut #1), song (subsequent cuts).  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,
63604,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Schwartz, Paul A",1971,11,20,1855,Brazil,Rio Grande do Sul,,near Canela and Gramado, Morro Pelado,-29.3666667,-50.7833333,800,,call, song,Human, Playback Self,Not Provided,,,,3,0,150,NAGRA UNSPECIFIED IV,Sennheiser MKH 405,Parabola 61cm (24in),Mono,,,,,,,"NOTES: Neotropical Institute Cut # 6. Brazil (Misc.Formicariide); Bulk reel: 193  203 tape.  This is ~ 2km distant from the site where Cut 4) recorded. Song, after some whistled imitation. Quality: 2-3. Level: +5.  Then after playback of above record. Mostly song, but some bother sounds and a second bird also heard. Quality: 2. Level: +5.  After repeated playback, some apparent bother calls that seem reasonably sure to be of this species, although the bird was not seen at this time. Quality: 2. Level: +5.  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,
62470,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Myrmothera campanisona -- Thrush-like Antpitta, Saltator grossus -- Slate-colored Grosbeak,,"Schwartz, Paul A",1966,7,4,0,Venezuela,,,Rio Grande, km 10.5, El Palmar,7.9666667,-61.8833333,250,,song,Natural,Not Provided,,,,2,0,251,NAGRA III,Electro-Voice 650,Parabola 91.4cm (36in),Mono,,,,,,," NOTES: Neotropical Institute Cut # 2. Bulk reel: 142; Extra cut(s) on bulk reel: 143; Extra cut length: 1:50Cloudy, fair. Natural song. (Probably same bird on Cut 1). Quality: 1-2. Level: +10.Same bird after it had moved closer. Still natural song. Quality: 1. Level: +5.",,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,
60952,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Procnias albus -- White Bellbird,,"Macaulay, Linda R",1992,2,5,800,Venezuela,,,"Rt. #10, km63, trail east to Guiana",6.0,-61.5,,Adult Unknown Sex (1),perform visual display, song,Playback Self,Certain,Sight and Sound,,,0,0,266,SONY TC-D5 PRO II,Sennheiser MKH 60,,Mono,,,,Forest, Deciduous Forest,,," NOTES: (Species Sound:  Infrequent; Cover Den: Thick;  Season: Winter;  Cassette) Bird came in, circled us calling.   It hops rapidly across the forest floor - like a thrush in appearance. It stops, blows up its belly and calls, leaning forward in an S-shape, pumping its body as it calls. Davis Finch (Under Stimulus for Sound, Linda checked both Natural and Playback;  14/02/01; MLM) ",,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,
60521,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Macaulay, Linda R",1992,12,2,1300,Ecuador,,,30.0 km S of Coca, trail #8 past Mandi Cocha,-0.5,-77.0,,Unknown Age Unknown Sex (1),song,Natural,Uncertain,Sound,,,0,0,25,SONY TC-D5 PRO II,Sennheiser MKH 60,,Mono,,,,Rainforest, Deciduous Forest,,, NOTES: (General Climate:  Humid,  Cover Den: Med, Cassette)  Gary Rosenberg ,,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,
52824,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Finch, Davis W",1990,6,28,1030,Brazil,Rio de Janeiro,,Parque Nacional Itatiaia,,,1079,Adult Unknown Sex (1),advertise, song,Playback Same Species,Certain,Sight and Sound,,,0,0,134,SONY TCM-5000,Sennheiser ME 88,,Mono,,,,,,,"NOTES: (Species Sound:  Frequent. Breeding Status:  Territorial. Technical: with ProCo Imperiance Matching Transformer.)  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,,
52297,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Parker, III, Theodore A",1989,10,31,0,Brazil,Mato Grosso,,S of Rio Teles Pires,,,,,song,,Not Provided,,,,2,0,68,NAGRA 4.2,Electro-Voice DL42,,Mono,,,,,,, NOTES: TAP- distant songs,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,,
50642,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Coopmans, Paul ",1990,12,14,0,Ecuador,Napo,,1.0 km S of Puerto Napo,-1.0666667,-77.8,400,,,Natural,Certain,Sound,,,0,0,144,SONY TCM-5000EV,Sennheiser ME 80,,Mono,,,,Rainforest,,Second-growth, Edge," NOTES: ""Dusk""  Sound Category:  Other:  ""1st song not previously heard (only dawn & dusk?) 2nd regular        song/call""  Recordist checked Surface and Low for ""Strata in Habitat""  Microphone:  ""Sennh. ME80 + matching transformer""    ML: Subject changed from recordist's original identification of Hylopezus fulviventris fulviventris to Hylopezus fulviventris to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,,,
31389,Audio,Hylopezus dives,Thicket Antpitta,,,"Spencer, Barbara ",1983,3,29,530,Costa Rica,Heredia,,S of La Selva Biological Station,10.4288,-84.0128,100,Unknown Age Unknown Sex (1),advertise, song,Playback Self,Certain,Sight and Sound,,,0,0,166,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest,,Second-growth," NOTES: (Breeding Status: Territorial unknown. General Climate: Wet. Cover Density: Medium. Copy Recorder: ATGR-700 2 trk.) [Mic inputs (20 db attenuation) used on 1st section of copy. Vari-speed used on ATR-700, 2 o'clock position.] LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.", Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,
142670,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Remold, Heinz G",2002,11,5,0,Brazil,Paraná,,20.0 km NE of Curitiba, Serra Graciosa,,,800,,call,Natural,Uncertain,Sound,,,0,0,0,,Sennheiser MKH 405,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,Montane Grassland,,, NOTES: with Grallaria varia, Response to playback: No response.,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,,
75742,Audio,Hylopezus berlepschi,Amazonian Antpitta,Cercomacroides fuscicauda -- Riparian Antbird, Formicarius rufifrons -- Rufous-fronted Antthrush, Ramphotrigon fuscicauda -- Dusky-tailed Flatbill, Trogon sp. -- new world trogon sp.,,"Marantz, Curtis A",1994,8,7,839,Peru,Madre de Dios,,"Collpa de Guacamayos, Rio Tambopata",-13.13,-69.58,,Adult Unknown Sex (1),advertise, song,,Certain,Sound,,,2,0,0,NAGRA IV-D,Sennheiser MKH 815,,Mono,,,,Rainforest, Riparian,,," NOTES: (Sound or Soc. Contact: Isolated. Breed. Status: Territorial.  Climate: Humid; Cyclic Wet-Dry. Gen. Hab: Riparian +/-. Cov. Density: Thick. Strata: Surface? Weather: Overcast?) Opposite Trial C, 800 m. (50-75 m. east of trail). Recorded from edge of dense wet area (almost swampy).",,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,
106054,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Michael, David ",1995,11,17,0,Brazil,Mato Grosso,,Alta Floresta,,,,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,0,0,246,SONY TC-D5 PRO II,Sennheiser MKH 70,,,,,,Deciduous Forest, Suburban,,Second-growth,,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,
129506,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Hosner, Peter A",2004,10,14,0,Peru,Madre de Dios,,"6.0 km W of Iberia, Oceania",-11.3833333,-69.5333333,250,Adult Unknown Sex (1),song,,Certain,Sight,,,4,0,50,SONY TC-D5 PRO II,Sennheiser ME 67,,Mono,,,,Rainforest, Evergreen Forest,,,,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,
98686,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Amazona farinosa -- Mealy Parrot, Cercomacra cinerascens -- Gray Antbird, Cercomacroides tyrannina -- Dusky Antbird, Patagioenas plumbea -- Plumbeous Pigeon, Cymbilaimus lineatus -- Fasciated Antshrike, Hylophilus thoracicus -- Lemon-chested Greenlet, Lipaugus vociferans -- Screaming Piha, Monasa atra -- Black Nunbird, Myiarchus tuberculifer -- Dusky-capped Flycatcher, Myiopagis gaimardii -- Forest Elaenia, Myrmothera campanisona -- Thrush-like Antpitta, Notharchus macrorhynchos -- Guianan Puffbird, Ramphastos tucanus -- White-throated Toucan, Tolmomyias poliocephalus -- Gray-crow,,"Finch, Davis W",1998,11,6,1550,Guyana,Upper Takutu-Upper Essequibo,,Opposite Brian's Landing, right bank of Kwitaro River,2.9476667,-58.9665333,125,Adult Male (1),advertise, song,Playback Self, Playback Same Species,Certain,Sight and Sound,,,4,0,346,SONY TC-D5 PRO II,Sennheiser MKH 816T,,Mono,,,,,,,, Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67560
94594,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Aleixo, Alexandre Luis Padovan ",1996,9,22,1750,Brazil,Pará,,250.0 km NW of Reserva Indigena Gorotire, Pinkaiti, Redencao,,,,Unknown Age Unknown Sex (1),advertise, call, song,Natural, Playback Self,Certain,Sight and Sound,,,4,0,181,UHER 4400 REPORT IC,Sennheiser ME 88,,Mono,,,,River, Riparian,,Thicket/Brush,"Response to playback: Approach, different song.", Response to playback: Approach. Response to playback: Different song.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,
94535,Audio,Hylopezus paraensis,Snethlage's Antpitta,,,"Aleixo, Alexandre Luis Padovan ",1996,9,7,800,Brazil,Pará,,250.0 km NW of Reserva Indigena Gorotire, Redencao,,,,Unknown Age Unknown Sex (1),advertise, song,Natural,Certain,Sight and Sound,,,0,0,107,UHER 4400 REPORT IC,Sennheiser ME 88,,Mono,,,,Rainforest,,Second-growth,ML: Subject changed from Hylopezus macularius to H. paraensis to reflect current taxonomy. -Jay McGowan 29Nov2014.,,,Aves,Passeriformes,Grallariidae,67580,,,,,,,,,,,,,,
89010,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,Cacicus haemorrhous -- Red-rumped Cacique, Crypturellus strigulosus -- Brazilian Tinamou, Lipaugus vociferans -- Screaming Piha,,"Marantz, Curtis A",1997,12,10,0,Brazil,Mato Grosso,,"Reserva Ecologica Cristalino, Trilha de Jozias",,,,Adult Unknown Sex (1),advertise, song,Natural,Certain,Sight and Sound,,,4,0,107,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,," NOTES: NO NOTES, but this bird was seen well about 1 m up in undergrowth off Trilha Jozias.  ML: Subject changed from Hylopezus macularius to H. whittakeri to reflect current taxonomy. -Jay McGowan 29Nov2014.",,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,
88888,Audio,Hylopezus berlepschi,Amazonian Antpitta,Ara severus -- Chestnut-fronted Macaw, Psittacara leucophthalmus -- White-eyed Parakeet, Anabazenops dorsalis -- Dusky-cheeked Foliage-gleaner, Formicarius analis -- Black-faced Antthrush, Pionites leucogaster -- White-bellied Parrot, Ramphastos tucanus -- White-throated Toucan, Saltator maximus -- Buff-throated Saltator, Troglodytes aedon -- House Wren, Xiphorhynchus guttatus [eytoni Group] -- Buff-throated Woodcreeper (Dusky-billed),,"Marantz, Curtis A",1997,11,16,1722,Brazil,Mato Grosso,,"Reserva Ecologica Cristalino, Bungalow clearing",,,,Adult Unknown Sex (1),advertise, dusk song, song,Natural,Certain,Sound,,,4,0,825,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,Thicket/Brush," NOTES: Unseen bird was now at distance of 4 m and within 1 m of ground, and roughly in same spot as it was for cut #97RDAT19-09 in very dense growth right at edge of bungalow clearing.  More clouds but conditions other wise same [calm, upper 70s].  Note that I saw this bird the following day, using in part playback of this recording.  In response to tape playback, the bird would immediately go silent, then run by me at a distance of 12-15 m, and finally it began singing again from a nearby perch.  When seen, bird was singing about 1 m up on horizontal perch amid dense growth, much of it bamboo.  Bird described briefly on tape.    ML: Background subject changed from recordist's original identification of Ramphastos tucanus cuvieri to Ramphastos tucanus to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.    ML: Background subject changed from recordist's original identification of Xiphorhynchus guttatus eytoni to Xiphorhynchus guttatus [eytoni Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Grallariidae,67630,,,,,
88887,Audio,Hylopezus berlepschi,Amazonian Antpitta,Brotogeris chrysoptera -- Golden-winged Parakeet, Capsiempis flaveola -- Yellow Tyrannulet, Cercomacra cinerascens -- Gray Antbird, Legatus leucophaius -- Piratic Flycatcher, Monasa nigrifrons -- Black-fronted Nunbird, Myrmoborus leucophrys -- White-browed Antbird, Pionus menstruus -- Blue-headed Parrot, Troglodytes aedon -- House Wren, Turdus hauxwelli -- Hauxwell's Thrush,,"Marantz, Curtis A",1997,11,16,1710,Brazil,Mato Grosso,,"Reserva Ecologica Cristalino, Bungalow clearing",,,,Adult Unknown Sex (1),advertise, dusk song, song,Natural,Certain,Sound,,,4,0,636,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,Thicket/Brush," NOTES: Unseen bird was at distance of 8 m and about 1 m up in very dense growth right at edge of bungalow clearing.  Mostly cloudy with thunderheads in the distance, calm, upper 70s.  Time announcement difficult to decipher and apparently incorrect (said to be 17:39, but following cut was recorded earlier than this!)  Probably recorded at about 17:10 based on timing of following cut.",,,Aves,Passeriformes,Grallariidae,67630,,,,,
88985,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,Lipaugus vociferans -- Screaming Piha, Melanerpes cruentatus -- Yellow-tufted Woodpecker, Turdus hauxwelli -- Hauxwell's Thrush,,"Marantz, Curtis A",1997,12,7,742,Brazil,Mato Grosso,,Floresta Amazonica Hotel,,,,Adult Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,2,0,124,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: Unseen bird apparently 10-15 m away and low (within a meter or two of ground) at edge of tree fall gap along loop trail behind hotel. Partly cloudy but hazy, calm, mid 70s. No apparent response to playback.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>",,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,
88889,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,Amazona kawalli -- Kawall's Parrot, Myrmothera campanisona -- Thrush-like Antpitta, Tinamidae sp. -- tinamou sp., Zimmerius gracilipes -- Slender-footed Tyrannulet,,"Marantz, Curtis A",1997,11,17,617,Brazil,Mato Grosso,,"Reserva Ecologica Cristalino, Trilha de Castaneira",,,,Adult Unknown Sex (1),advertise, dawn song, song,Natural,Certain,Sound,,,2,0,268,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: Unseen bird was recorded on back part of loop trail (near marker #62) in forest that was moderately open. Bird appeared to be about 2 m up and 10-15 m away, possibly farther. Almost completely overcast, calm, low 70s. Still quite dark.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>",,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,
76654,Audio,Hylopezus perspicillatus intermedius,Streak-chested Antpitta (Atlantic Slope),,,"Marantz, Curtis A",1991,4,5,645,Costa Rica,,,Braulio Carrillo NP, Forest Trail,,,,Adult Unknown Sex (1),advertise, song,Playback Self,Uncertain,Sound,,,4,0,142,NAGRA IV-D,Electro-Voice DL42,,Mono,,,,Rainforest, Evergreen Forest,,," NOTES: (Sound or Soc. Contact: Isolated? Breed. Status: Territorial? Del. Rate: Normal? Climate: Humid. Cov. Density: Med; Thick.) See comments for cut 91-12-4. [91-12-04: ""Recorded after minimal playback at cut 91-2-3. The bird gave the same song after playback but slightly more regularly.""]", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67530,,,,,,,,,,,,,
76653,Audio,Hylopezus perspicillatus intermedius,Streak-chested Antpitta (Atlantic Slope),,,"Marantz, Curtis A",1991,4,5,629,Costa Rica,,,Braulio Carrillo NP, Forest Trail,,,,Adult Unknown Sex (1),advertise, song,Playback Self,Uncertain,Sound,,,4,0,303,NAGRA IV-D,Electro-Voice DL42,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: (Sound or Soc. Contact: Isolated? Breed. Status: Territorial? Del. Rate: Normal? Climate: Humid. Cov. Density: Med, Thick.) Recorded after minimal playback at cut 91-2-3. The bird gave the same song after playback but slightly more regularly., Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67530,,,,,,,,,,,,
76652,Audio,Hylopezus perspicillatus intermedius,Streak-chested Antpitta (Atlantic Slope),,,"Marantz, Curtis A",1991,4,5,620,Costa Rica,,,Braulio Carrillo NP, Forest Trail,,,,Adult Unknown Sex (1),advertise, song,Natural,Uncertain,Sound,,,2,0,42,NAGRA IV-D,Electro-Voice DL42,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: (Sound or Soc. Contact: Isolated? Breed. Status: Territorial? Del. Rate: Normal? Climate: Humid. Cov. Density: Med, Thick.) High pass filtered at 250 Hz., Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67530,,,,,,,,,,,,
68507,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Finch, Davis W",1994,3,3,615,Guyana,Potaro-Siparuni,,Mango Landing, west side of Essequibo River,,,213,Adult Unknown Sex (1),advertise, song,Playback Self,Certain,Sound,,,4,0,92,SONY TC-D5 PRO II,Sennheiser MKH 816T,,Mono,,,,Rainforest, Evergreen Forest,,Thicket/Brush,"NOTES: (Breeding Status:  Territorial. Cover Density: Medium, thick.)", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,
68287,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Finch, Davis W",1993,8,11,1130,Brazil,Rio Grande do Sul,,Sao Francisco de Paula, Loteamento Alpes,,,945,Adult Unknown Sex (1),advertise, song,Playback Self, Playback Same Species,Certain,Sight and Sound,,,3,0,118,SONY TCM-5000,Sennheiser MKH 816T,,Mono,,,,Forest, Deciduous Forest,,,"NOTES: (Bkground Sounds: Foliage hiss. Species Sound: Infrequent. Breeding Status:  Territorial. Cover Densitiy: Medium.) 68285, 68286, and 68287 made with Sony TCM 5000. Remaining recordings from this trip (August 1993) were made with Sony TCD5 Pro II. MKH 816T in all cases.  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,
68208,Audio,Hylopezus fulviventris,White-lored Antpitta,Monasa nigrifrons -- Black-fronted Nunbird, Picidae sp. -- woodpecker sp.,,"Coopmans, Paul ",1994,4,19,950,Ecuador,Sucumbíos,,Sacha Lodge,-0.45,-76.38,250,Unknown Age Unknown Sex (1),song,Natural,Certain,Sound,,,2,0,183,NAGRA E,Sennheiser ME 80,Parabola 91.4cm (36in),Mono,,,,Rainforest, River,,,"ML: Subject changed from recordist's original identification of Hylopezus fulviventris fulviventris to Hylopezus fulviventris to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,,
68217,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Coopmans, Paul ",1994,4,20,1635,Ecuador,Sucumbíos,,Sacha Lodge,-0.45,-76.38,250,,,Natural,Certain,Sound,,,1,0,145,NAGRA E,Sennheiser ME 80,Parabola 91.4cm (36in),Mono,,,,Rainforest,,,"ML: Subject changed from recordist's original identification of Hylopezus fulviventris fulviventris to Hylopezus fulviventris to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,,,,
57483,Audio,Hylopezus dives,Thicket Antpitta,,,"Ross, Jr., David L",1991,2,23,0,Costa Rica,Heredia,,La Selva Biological Station,10.4288,-84.0128,,Unknown Age Unknown Sex (1),song,Playback Self,Certain,Sight,,,4,0,376,MARANTZ PMD 430,Sennheiser MKH 104,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest,,,NOTES: (General Climate: Wet),,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,,
57379,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),,,"Ross, Jr., David L",1990,1,5,0,Costa Rica,Puntarenas,,Corcovado National Park, Sirena Field Station,8.48025,-83.5893389,,Adult Unknown Sex (2),counter singing, song,Natural,Not Provided,,,,4,0,1576,MARANTZ PMD 221,Sennheiser ME 20,,Mono,,,,Rainforest, Evergreen Forest,,,"General Climate: Wet  Cover Density: sparse    ML: Locality changed from OTS Finca La Selva (Heredia) to Corcovado National Park (Puntarenas) to correct a data entry error. -Brad Walker, 11 Dec 2015.",,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,,,,
